city,date,price_local,currency,hpi,income,median_multiple
London,2019-01,503232.0,GBP,88.2,,
London,2019-02,498951.0,GBP,87.4,,
London,2019-03,496910.0,GBP,87.0,,
London,2019-04,502664.0,GBP,88.1,,
London,2019-05,496339.0,GBP,86.9,,
London,2019-06,503716.0,GBP,88.2,47000.0,10.71736170212766
London,2019-07,512265.0,GBP,89.7,47204.91803278688,10.85194130925508
London,2019-08,506081.0,GBP,88.7,47416.666666666664,10.673061511423551
London,2019-09,510810.0,GBP,89.5,47628.41530054645,10.724900183570446
London,2019-10,506016.0,GBP,88.6,47833.333333333336,10.578731707317072
London,2019-11,501829.0,GBP,87.9,48045.08196721312,10.444960846199777
London,2019-12,512959.0,GBP,89.9,48250.0,10.631274611398963
London,2020-01,509527.0,GBP,89.3,48461.74863387978,10.514003608276484
London,2020-02,507956.0,GBP,89.0,48673.497267759565,10.435987313705127
London,2020-03,516654.0,GBP,90.5,48871.58469945355,10.571664560854252
London,2020-04,509754.0,GBP,89.3,49083.333333333336,10.385480475382003
London,2020-05,506613.0,GBP,88.7,49288.25136612022,10.278575237672884
London,2020-06,513833.0,GBP,90.0,49500.0,10.380464646464647
London,2020-07,517966.0,GBP,90.7,49582.191780821915,10.446613620665838
London,2020-08,523954.0,GBP,91.8,49667.12328767123,10.549312408638333
London,2020-09,528003.0,GBP,92.5,49752.05479452055,10.612687298659104
London,2020-10,520515.0,GBP,91.2,49834.24657534246,10.444925643915447
London,2020-11,529444.0,GBP,92.7,49919.17808219178,10.606023983974096
London,2020-12,529060.0,GBP,92.7,50001.3698630137,10.580910112051724
London,2021-01,529101.0,GBP,92.7,50086.30136986302,10.563786614883899
London,2021-02,525153.0,GBP,92.0,50171.232876712325,10.467213378839592
London,2021-03,534311.0,GBP,93.6,50247.94520547945,10.633489544996047
London,2021-04,523423.0,GBP,91.7,50332.87671232877,10.3992267914977
London,2021-05,522672.0,GBP,91.6,50415.068493150684,10.36737657256202
London,2021-06,538199.0,GBP,94.3,50500.0,10.65740594059406
London,2021-07,529788.0,GBP,92.8,50541.09589041096,10.482321181731942
London,2021-08,545831.0,GBP,95.6,50583.561643835616,10.790679467042192
London,2021-09,541876.0,GBP,94.9,50626.02739726027,10.703506236978109
London,2021-10,539606.0,GBP,94.5,50667.12328767123,10.650022440316869
London,2021-11,547647.0,GBP,95.9,50709.58904109589,10.799673402128695
London,2021-12,547837.0,GBP,96.0,50750.68493150685,10.794672047074066
London,2022-01,550635.0,GBP,96.5,50793.150684931505,10.840733299172038
London,2022-02,551066.0,GBP,96.5,50835.61643835616,10.840155753166263
London,2022-03,550480.0,GBP,96.4,50873.97260273973,10.820464214551134
London,2022-04,554765.0,GBP,97.2,50916.438356164384,10.895597137399445
London,2022-05,554380.0,GBP,97.1,50957.53424657534,10.879254818677921
London,2022-06,572418.0,GBP,100.3,51000.0,11.223882352941176
London,2022-07,575261.0,GBP,100.8,51041.09589041096,11.270545625335481
London,2022-08,581320.0,GBP,101.8,51083.561643835616,11.379786007347617
London,2022-09,579330.0,GBP,101.5,51126.02739726027,11.331410428165693
London,2022-10,573946.0,GBP,100.5,51167.12328767123,11.217085564360676
London,2022-11,575480.0,GBP,100.8,51209.58904109589,11.237739079260626
London,2022-12,572384.0,GBP,100.3,51250.68493150685,11.168319033491032
London,2023-01,570869.0,GBP,100.0,51293.150684931505,11.129536641384467
London,2023-02,563875.0,GBP,98.8,51335.61643835616,10.98408939292862
London,2023-03,555361.0,GBP,97.3,51373.97260273973,10.810162653654375
London,2023-04,557147.0,GBP,97.6,51416.438356164384,10.83597032024298
London,2023-05,554900.0,GBP,97.2,51457.53424657534,10.783649238632734
London,2023-06,556107.0,GBP,97.4,51500.0,10.798194174757281
London,2023-07,559703.0,GBP,98.0,51540.983606557376,10.859377544529263
London,2023-08,560630.0,GBP,98.2,51583.333333333336,10.868432956381259
London,2023-09,565702.0,GBP,99.1,51625.68306010929,10.957763006086267
London,2023-10,555122.0,GBP,97.2,51666.666666666664,10.744296774193549
London,2023-11,547757.0,GBP,96.0,51709.016393442624,10.593065546484901
London,2023-12,549112.0,GBP,96.2,51750.0,10.610859903381643
London,2024-01,551097.0,GBP,96.5,51792.34972677596,10.640509706689175
London,2024-02,546247.0,GBP,95.7,51834.69945355191,10.53824958490367
London,2024-03,547437.0,GBP,95.9,51874.31693989071,10.55314136732329
London,2024-04,548467.0,GBP,96.1,51916.666666666664,10.564372391653292
London,2024-05,553592.0,GBP,97.0,51957.65027322404,10.654677359135489
London,2024-06,556853.0,GBP,97.5,52000.0,10.708711538461538
London,2024-07,557831.0,GBP,97.7,52000.0,10.72751923076923
London,2024-08,567121.0,GBP,99.3,52000.0,10.906173076923077
London,2024-09,566882.0,GBP,99.3,52000.0,10.901576923076924
London,2024-10,560909.0,GBP,98.3,52000.0,10.786711538461539
London,2024-11,559925.0,GBP,98.1,52000.0,10.767788461538462
London,2024-12,556882.0,GBP,97.5,52000.0,10.70926923076923
New York,2019-01,432541.994842799,USD,201.596706685941,,
New York,2019-02,433734.61280429666,USD,202.15255526536,,
New York,2019-03,431017.3043780017,USD,200.886087647597,,
New York,2019-04,430556.5102660349,USD,200.67132335525,,
New York,2019-05,430564.7302558302,USD,200.675154481225,,
New York,2019-06,429945.17618041625,USD,200.386396250333,72038.0,5.968310838452154
New York,2019-07,429514.3532648127,USD,200.185600762297,72145.86885245901,5.953415768589405
New York,2019-08,430946.7904447204,USD,200.85322291563,72257.33333333333,5.964056111186691
New York,2019-09,432272.4596628981,USD,201.47108326613,72368.79781420765,5.973188345240594
New York,2019-10,433883.0031945669,USD,202.221716212364,72476.66666666667,5.98651984355287
New York,2019-11,434331.8929966962,USD,202.430932211858,72588.13114754099,5.983511162642871
New York,2019-12,435940.7312176666,USD,203.180770356605,72696.0,5.996763662617841
New York,2020-01,436921.8978446091,USD,203.638066903669,72807.46448087432,6.00105910788012
New York,2020-02,440480.6440543334,USD,205.296707045818,72918.92896174864,6.040689987169148
New York,2020-03,439428.71569311834,USD,204.806430273114,73023.20218579235,6.017658806239192
New York,2020-04,438974.6893039165,USD,204.594820242405,73134.66666666667,6.002279210551081
New York,2020-05,437796.7890463805,USD,204.045831206531,73242.53551912568,5.977357090976997
New York,2020-06,437330.7191293146,USD,203.828607997025,73354.0,5.961920537793639
New York,2020-07,438988.6544453718,USD,204.601329035908,73426.0,5.978654079554542
New York,2020-08,446106.9974822165,USD,207.919005771112,73500.4,6.069449927921706
New York,2020-09,454200.59102629346,USD,211.691221702038,73574.8,6.1733173726098265
New York,2020-10,463538.8648949893,USD,216.043551141737,73646.8,6.294080189431031
New York,2020-11,473433.3377748454,USD,220.655110645219,73721.2,6.421942911602707
New York,2020-12,481547.60722714,USD,224.436963085557,73793.2,6.52563660645073
New York,2021-01,489109.6287723236,USD,227.961426970159,73867.6,6.621436580751555
New York,2021-02,495251.6761720373,USD,230.824077401457,73942.0,6.697839876822879
New York,2021-03,498950.1800567982,USD,232.547855003916,74009.2,6.741731839511821
New York,2021-04,503787.28476850863,USD,234.802305187719,74083.6,6.800253831732105
New York,2021-05,509541.9291472908,USD,237.484397027918,74155.6,6.871253541840276
New York,2021-06,513941.7833501156,USD,239.535055987657,74230.0,6.923639813419313
New York,2021-07,519378.6766523168,USD,242.069052217838,74660.1095890411,6.956575332010406
New York,2021-08,524231.01667433616,USD,244.330603188201,75104.55616438357,6.980016172746381
New York,2021-09,528807.7903307469,USD,246.463719758107,75549.00273972603,6.999533695402219
