city,date,hpi_sa,benchmark_sa_cad
Toronto,2019-01,238.6,760000
Toronto,2019-02,236.7,753900
Toronto,2019-03,236.3,752700
Toronto,2019-04,237.4,756200
Toronto,2019-05,238.5,759500
Toronto,2019-06,241.1,767900
Toronto,2019-07,243.0,774000
Toronto,2019-08,244.8,779600
Toronto,2019-09,246.5,785000
Toronto,2019-10,249.1,793300
Toronto,2019-11,250.6,798300
Toronto,2019-12,251.6,801500
Toronto,2020-01,252.7,804900
Toronto,2020-02,255.5,813700
Toronto,2020-03,256.8,817900
Toronto,2020-04,253.2,806400
Toronto,2020-05,254.9,811700
Toronto,2020-06,261.0,831200
Toronto,2020-07,267.1,850600
Toronto,2020-08,273.3,870400
Toronto,2020-09,275.6,877900
Toronto,2020-10,278.3,886300
Toronto,2020-11,282.8,900700
Toronto,2020-12,286.6,912800
Toronto,2021-01,291.9,929600
Toronto,2021-02,298.4,950500
Toronto,2021-03,303.5,966800
Toronto,2021-04,308.2,981600
Toronto,2021-05,315.6,1005100
Toronto,2021-06,319.7,1018300
Toronto,2021-07,325.7,1037200
Toronto,2021-08,330.8,1053600
Toronto,2021-09,340.3,1083800
Toronto,2021-10,350.0,1114600
Toronto,2021-11,359.2,1144100
Toronto,2021-12,366.1,1165900
Toronto,2022-01,383.0,1220000
Toronto,2022-02,395.4,1259200
Toronto,2022-03,388.9,1238500
Toronto,2022-04,378.9,1206700
Toronto,2022-05,367.3,1169700
Toronto,2022-06,357.1,1137500
Toronto,2022-07,347.4,1106400
Toronto,2022-08,342.3,1090200
Toronto,2022-09,339.3,1080800
Toronto,2022-10,336.4,1071400
Toronto,2022-11,334.1,1064200
Toronto,2022-12,330.2,1051600
Toronto,2023-01,325.2,1035800
Toronto,2023-02,324.0,1032000
Toronto,2023-03,326.8,1041000
Toronto,2023-04,334.9,1066800
Toronto,2023-05,342.6,1091300
Toronto,2023-06,347.1,1105600
Toronto,2023-07,349.0,1111700
Toronto,2023-08,347.0,1105300
Toronto,2023-09,343.6,1094300
Toronto,2023-10,337.9,1076300
Toronto,2023-11,331.2,1054900
Toronto,2023-12,328.1,1045100
Toronto,2024-01,325.1,1035500
Toronto,2024-02,327.3,1042400
Toronto,2024-03,328.4,1046000
Toronto,2024-04,327.3,1042600
Toronto,2024-05,325.2,1035800
Toronto,2024-06,326.3,1039300
Toronto,2024-07,325.7,1037300
Toronto,2024-08,324.4,1033200
Toronto,2024-09,323.0,1028600
Toronto,2024-10,321.9,1025200
Toronto,2024-11,322.8,1028100
Toronto,2024-12,321.7,1024500
Vancouver,2019-01,260.6,924200
Vancouver,2019-02,255.4,905900
Vancouver,2019-03,251.5,892200
Vancouver,2019-04,248.9,882800
Vancouver,2019-05,246.2,873200
Vancouver,2019-06,245.7,871600
Vancouver,2019-07,245.6,871300
Vancouver,2019-08,247.5,878000
Vancouver,2019-09,249.9,886500
Vancouver,2019-10,252.1,894300
Vancouver,2019-11,254.8,903900
Vancouver,2019-12,257.1,911800
Vancouver,2020-01,258.6,917100
Vancouver,2020-02,258.5,916800
Vancouver,2020-03,257.0,911500
Vancouver,2020-04,255.5,906100
Vancouver,2020-05,255.8,907300
Vancouver,2020-06,257.1,911900
Vancouver,2020-07,260.4,923700
Vancouver,2020-08,264.8,939300
Vancouver,2020-09,268.5,952300
Vancouver,2020-10,270.9,960900
Vancouver,2020-11,274.6,974100
Vancouver,2020-12,277.5,984300
Vancouver,2021-01,280.5,994800
Vancouver,2021-02,285.0,1010900
Vancouver,2021-03,293.4,1040600
Vancouver,2021-04,298.7,1059400
Vancouver,2021-05,301.2,1068300
Vancouver,2021-06,302.9,1074300
Vancouver,2021-07,304.1,1078700
Vancouver,2021-08,307.0,1089000
Vancouver,2021-09,312.3,1107700
Vancouver,2021-10,317.0,1124500
Vancouver,2021-11,322.3,1143300
Vancouver,2021-12,328.2,1164300
Vancouver,2022-01,336.9,1195000
Vancouver,2022-02,345.0,1223800
Vancouver,2022-03,348.3,1235500
Vancouver,2022-04,346.9,1230600
Vancouver,2022-05,345.6,1225800
Vancouver,2022-06,340.6,1208000
Vancouver,2022-07,335.5,1190100
Vancouver,2022-08,330.2,1171100
Vancouver,2022-09,324.7,1151600
Vancouver,2022-10,324.0,1149100
Vancouver,2022-11,320.6,1137100
Vancouver,2022-12,317.8,1127200
Vancouver,2023-01,316.8,1123700
Vancouver,2023-02,316.9,1124000
Vancouver,2023-03,317.0,1124500
Vancouver,2023-04,322.8,1144800
Vancouver,2023-05,326.6,1158500
Vancouver,2023-06,332.3,1178700
Vancouver,2023-07,336.7,1194400
Vancouver,2023-08,338.5,1200600
Vancouver,2023-09,339.1,1202900
Vancouver,2023-10,338.3,1200000
Vancouver,2023-11,336.3,1192900
Vancouver,2023-12,333.6,1183200
Vancouver,2024-01,332.4,1179000
Vancouver,2024-02,331.7,1176700
Vancouver,2024-03,332.9,1180800
Vancouver,2024-04,333.4,1182500
Vancouver,2024-05,334.7,1187100
Vancouver,2024-06,334.3,1185800
Vancouver,2024-07,333.8,1184000
Vancouver,2024-08,335.9,1191300
Vancouver,2024-09,333.6,1183300
Vancouver,2024-10,333.2,1181800
Vancouver,2024-11,333.8,1184000
Vancouver,2024-12,335.0,1188100
