city,date,avg_price_gbp,hpi,sales
London,2019-01,503232,88.2,6031
London,2019-02,498951,87.4,5967
London,2019-03,496910,87.0,6875
London,2019-04,502664,88.1,6063
London,2019-05,496339,86.9,6815
London,2019-06,503716,88.2,6991
London,2019-07,512265,89.7,8275
London,2019-08,506081,88.7,8797
London,2019-09,510810,89.5,7586
London,2019-10,506016,88.6,7901
London,2019-11,501829,87.9,7833
London,2019-12,512959,89.9,7107
London,2020-01,509527,89.3,6527
London,2020-02,507956,89.0,6465
London,2020-03,516654,90.5,6842
London,2020-04,509754,89.3,3206
London,2020-05,506613,88.7,2929
London,2020-06,513833,90.0,4511
London,2020-07,517966,90.7,5988
London,2020-08,523954,91.8,6148
London,2020-09,528003,92.5,7087
London,2020-10,520515,91.2,8083
London,2020-11,529444,92.7,7825
London,2020-12,529060,92.7,9201
London,2021-01,529101,92.7,8030
London,2021-02,525153,92.0,10070
London,2021-03,534311,93.6,16466
London,2021-04,523423,91.7,9151
London,2021-05,522672,91.6,7696
London,2021-06,538199,94.3,26412
London,2021-07,529788,92.8,3030
London,2021-08,545831,95.6,6063
London,2021-09,541876,94.9,12748
London,2021-10,539606,94.5,4935
London,2021-11,547647,95.9,6837
London,2021-12,547837,96.0,7655
London,2022-01,550635,96.5,6363
London,2022-02,551066,96.5,7143
London,2022-03,550480,96.4,8630
London,2022-04,554765,97.2,7432
London,2022-05,554380,97.1,7768
London,2022-06,572418,100.3,8528
London,2022-07,575261,100.8,9356
London,2022-08,581320,101.8,9432
London,2022-09,579330,101.5,9508
London,2022-10,573946,100.5,8976
London,2022-11,575480,100.8,8978
London,2022-12,572384,100.3,8125
London,2023-01,570869,100.0,6046
London,2023-02,563875,98.8,5587
London,2023-03,555361,97.3,6571
London,2023-04,557147,97.6,4330
London,2023-05,554900,97.2,4835
London,2023-06,556107,97.4,6016
London,2023-07,559703,98.0,6043
London,2023-08,560630,98.2,6988
London,2023-09,565702,99.1,6912
London,2023-10,555122,97.2,6242
London,2023-11,547757,96.0,6023
London,2023-12,549112,96.2,5479
London,2024-01,551097,96.5,5102
London,2024-02,546247,95.7,5582
London,2024-03,547437,95.9,5952
London,2024-04,548467,96.1,5730
London,2024-05,553592,97.0,6785
London,2024-06,556853,97.5,6287
London,2024-07,557831,97.7,7834
London,2024-08,567121,99.3,8392
London,2024-09,566882,99.3,7402
London,2024-10,560909,98.3,8981
London,2024-11,559925,98.1,7652
London,2024-12,556882,97.5,6862
