date,year,month,sales,dollar_volume,avg_price,median_price,new_listings,snlr_trend_pct,active_listings,months_inventory,avg_sp_lp_pct,avg_ldom,avg_pdom
2019-01,2019,1,4009.0,3000045686.0,748328.0,650000.0,9456.0,49.4,11962.0,2.7,98.0,33.0,
2019-02,2019,2,5025.0,3921495250.0,780397.0,674900.0,9828.0,49.5,13284.0,2.7,99.0,25.0,
2019-03,2019,3,7187.0,5665764187.0,788335.0,690000.0,13996.0,49.7,15576.0,2.7,99.0,21.0,
2019-04,2019,4,9042.0,7415774564.0,820148.0,709000.0,17205.0,50.1,18037.0,2.6,99.0,19.0,
2019-05,2019,5,9989.0,8376175174.0,838540.0,725000.0,19386.0,51.4,20017.0,2.5,99.0,19.0,
2019-06,2019,6,8860.0,7377744309.0,832703.0,720000.0,15816.0,51.9,19655.0,2.5,99.0,21.0,
2019-07,2019,7,8595.0,6934056644.0,806755.0,705000.0,14393.0,52.8,17938.0,2.4,99.0,23.0,
2019-08,2019,8,7711.0,6111824249.0,792611.0,699888.0,11789.0,53.5,15870.0,2.4,98.0,25.0,
2019-09,2019,9,7825.0,6597374617.0,843115.0,720000.0,15611.0,54.4,17254.0,2.3,99.0,23.0,
2019-10,2019,10,8491.0,7235536380.0,852142.0,730000.0,13050.0,55.6,15375.0,2.2,99.0,23.0,
2019-11,2019,11,7090.0,5981386461.0,843637.0,729000.0,8650.0,56.8,11958.0,2.2,99.0,24.0,
2019-12,2019,12,4399.0,3685427393.0,837788.0,721000.0,3531.0,57.5,7406.0,2.1,98.0,29.0,
2020-01,2020,1,4581.0,3845122350.0,839363.0,735000.0,7836.0,58.5,7772.0,2.0,100.0,27.0,37.0
2020-02,2020,2,7256.0,6605067325.0,910290.0,780000.0,10613.0,59.7,8816.0,1.9,102.0,17.0,23.0
2020-03,2020,3,8012.0,7232268944.0,902680.0,785000.0,14424.0,60.1,10676.0,1.9,103.0,13.0,17.0
2020-04,2020,4,2975.0,2443640524.0,821392.0,732000.0,6174.0,60.4,10561.0,1.9,98.0,19.0,24.0
2020-05,2020,5,4606.0,3977734910.0,863599.0,754500.0,9104.0,61.1,11448.0,1.9,99.0,24.0,32.0
2020-06,2020,6,8701.0,8099494944.0,930869.0,795000.0,16153.0,60.8,14001.0,1.9,100.0,18.0,26.0
2020-07,2020,7,11081.0,10457254121.0,943710.0,810000.0,17956.0,61.0,15018.0,1.8,101.0,17.0,25.0
2020-08,2020,8,10775.0,10251376755.0,951404.0,821000.0,18491.0,60.3,16662.0,1.7,101.0,17.0,24.0
2020-09,2020,9,11083.0,10648237246.0,960772.0,830251.0,20420.0,60.4,18167.0,1.7,101.0,16.0,22.0
2020-10,2020,10,10563.0,10228338548.0,968318.0,830000.0,17802.0,59.9,17313.0,1.7,101.0,17.0,24.0
2020-11,2020,11,8766.0,8376919864.0,955615.0,830000.0,11545.0,59.8,13798.0,1.6,101.0,19.0,28.0
2020-12,2020,12,7180.0,6693356276.0,932222.0,800001.0,5865.0,60.7,7892.0,1.6,101.0,24.0,35.0
2021-01,2021,1,6928.0,6705505636.0,967885.0,830000.0,9430.0,61.6,7396.0,1.6,103.0,24.0,33.0
2021-02,2021,2,10970.0,11469007390.0,1045488.0,912000.0,15137.0,62.1,8727.0,1.5,107.0,14.0,19.0
2021-03,2021,3,15652.0,17179079727.0,1097565.0,945000.0,22709.0,63.6,10603.0,1.4,107.0,10.0,13.0
2021-04,2021,4,13663.0,14906219168.0,1090992.0,940000.0,20825.0,64.3,11668.0,1.3,106.0,10.0,14.0
2021-05,2021,5,11951.0,13247118659.0,1108453.0,945000.0,18586.0,65.0,12253.0,1.2,106.0,11.0,15.0
2021-06,2021,6,11106.0,12100389967.0,1089536.0,935000.0,16189.0,66.2,11297.0,1.2,105.0,13.0,17.0
2021-07,2021,7,9390.0,9974588185.0,1062256.0,911500.0,12551.0,67.2,9732.0,1.1,104.0,15.0,20.0
2021-08,2021,8,8596.0,9205552832.0,1070911.0,925000.0,10609.0,69.0,8201.0,1.1,105.0,16.0,21.0
2021-09,2021,9,9046.0,10278787564.0,1136280.0,970000.0,13483.0,70.6,9191.0,1.0,106.0,14.0,19.0
2021-10,2021,10,9783.0,11302738147.0,1155345.0,998900.0,11740.0,72.7,7750.0,1.0,107.0,13.0,18.0
2021-11,2021,11,9017.0,10489684676.0,1163323.0,999999.0,10036.0,73.5,6086.0,0.9,108.0,13.0,18.0
2021-12,2021,12,6031.0,6982989573.0,1157849.0,1017100.0,5174.0,73.1,3232.0,0.9,109.0,14.0,19.0
2022-01,2022,1,5636.0,7004383757.0,1242793.0,1100000.0,7979.0,72.9,4140.0,0.9,113.0,13.0,18.0
