date ,policy interest rate %,avg residental price $ (all types),HPI index ,total sales volume ,new listings ,notes 
01/01/2022,0.25,"1,242,793",412.4,"5,636","7,979",
02/01/2022,0.25,"1,334,544",438.6,"9,097","14,147",
03/01/2022,0.5,"1,299,894",450.4,"10,955","20,038",
04/01/2022,1,"1,254,436",443.2,"8,008","18,413",
05/01/2022,1,"1,212,806",398.8,"7,283","18,679",
06/01/2022,1.5,"1,146,254",380.8,"6,474","16,347",
07/01/2022,2.5,"1,074,754",365.8,"4,912","12,046",
08/01/2022,2.5,"1,079,500",355.4,"5,627","10,537",
09/01/2022,3.25,"1,086,762",351,"5,038","11,237",
10/01/2022,3.75,"1,089,428",347.1,"4,961","10,390",
11/01/2022,3.75,"1,079,395",344.4,"4,544","8,880",
12/01/2022,4.25,"1,051,216",341.8,"3,117","4,074",
01/01/2023,4.5,"1,038,668",341,"3,100","7,688",
02/01/2023,4.5,"1,095,617",344.9,"4,783","8,367",
03/01/2023,4.5,"1,108,606",353.5,"6,896","11,184",
04/01/2023,4.5,"1,153,269",362.1,"7,531","11,364",
05/01/2023,4.5,"1,196,101",368.6,"9,012","15,194",
06/01/2023,4.75,"1,182,120",367.6,"7,481","15,865",
07/01/2023,5,"1,118,374",367.6,"5,250","13,712",
08/01/2023,5,"1,082,496",361.3,"5,294","12,296",
09/01/2023,5,"1,119,428",356.8,"4,642","16,258",
10/01/2023,5,"1,125,928",349.4,"4,646","14,397",
11/01/2023,5,"1,082,179",342.3,"4,236","10,545",
12/01/2023,5,"1,084,692",337.8,"3,444","10,370",
