"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-01,6031,monthly,503232,-2.0,-0.7,88.2,6031,996114,1.6,1.2,84.7,598195,0.2,-0.3,83.7,534159,-0.5,-0.5,84.5,426121,-3.5,-1.0,92.4,436493,-2.3,-0.9,89.2,616458,-1.7,-0.3,86.8,553277,-3.2,-0.9,89.0,1200,492226,-1.6,-0.6,88.0,4820,470029,-2.5,-0.8,93.0,822,500055,-1.9,-0.7,87.1,5209,2019-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-02,5967,monthly,498951,-2.5,-0.9,87.4,5967,982176,-0.1,-1.4,83.5,590898,-0.6,-1.2,82.6,530381,-1.0,-0.7,83.9,422821,-3.7,-0.8,91.6,433834,-2.7,-0.6,88.7,609218,-2.1,-1.2,85.8,548877,-3.1,-0.8,88.3,1169,487968,-2.3,-0.9,87.2,4792,477969,-4.1,1.7,94.5,774,494070,-2.0,-1.2,86.1,5193,2019-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-03,6875,monthly,496910,-1.7,-0.4,87.0,6875,962984,-1.2,-2.0,81.9,586229,-1.0,-0.8,82.0,528621,-0.8,-0.3,83.6,421945,-2.3,-0.2,91.5,432154,-1.8,-0.4,88.3,606547,-1.7,-0.4,85.4,546087,-2.4,-0.5,87.8,1317,486097,-1.5,-0.4,86.9,5536,468575,-1.4,-2.0,92.7,1177,493122,-1.8,-0.2,85.9,5698,2019-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-04,6063,monthly,502664,-1.6,1.2,88.1,6063,971032,-1.3,0.8,82.6,590556,-1.5,0.7,82.6,535945,-0.7,1.4,84.8,426945,-2.0,1.2,92.5,436742,-1.7,1.1,89.2,614356,-1.5,1.3,86.5,555991,-1.5,1.8,89.4,1179,490906,-1.6,1.0,87.7,4867,473179,-2.2,1.0,93.6,816,498951,-1.4,1.2,86.9,5247,2019-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-05,6815,monthly,496339,-3.1,-1.3,86.9,6815,960929,-2.8,-1.0,81.7,586983,-2.5,-0.6,82.1,532387,-2.2,-0.7,84.2,419432,-3.7,-1.8,90.9,430501,-3.3,-1.4,88.0,608038,-2.8,-1.0,85.6,546600,-2.8,-1.7,87.9,1255,485276,-3.2,-1.1,86.7,5527,461225,-3.2,-2.5,91.2,900,493553,-3.1,-1.1,86.0,5915,2019-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-06,6991,monthly,503716,-2.0,1.5,88.2,6991,977136,-1.8,1.7,83.1,599469,-1.4,2.1,83.8,537685,-1.1,1.0,85.1,425915,-2.5,1.5,92.3,436633,-2.2,1.4,89.2,617580,-1.7,1.6,87.0,554141,-2.2,1.4,89.1,1287,492623,-1.9,1.5,88.0,5647,461337,-3.3,0.0,91.2,1425,501894,-1.8,1.7,87.5,5566,2019-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-07,8275,monthly,512265,-1.3,1.7,89.7,8275,985490,-3.1,0.9,83.8,601596,-1.7,0.4,84.1,545967,-1.1,1.5,86.4,435393,-1.0,2.2,94.4,445205,-1.1,2.0,91.0,625861,-1.6,1.3,88.2,562559,-1.8,1.5,90.5,1589,501210,-1.1,1.7,89.6,6580,486477,1.1,5.4,96.2,1246,507863,-1.7,1.2,88.5,7029,2019-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-08,8797,monthly,506081,-1.4,-1.2,88.7,8797,988380,-1.1,0.3,84.0,600892,-0.5,-0.1,84.0,547559,0.4,0.3,86.6,424976,-2.6,-2.4,92.1,438532,-1.6,-1.5,89.6,620770,-1.2,-0.8,87.4,552129,-2.7,-1.9,88.8,1524,496001,-1.1,-1.0,88.6,7136,466332,-3.2,-4.1,92.2,1103,503827,-1.1,-0.8,87.8,7694,2019-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-09,7586,monthly,510810,0.1,0.9,89.5,7586,987421,-1.2,-0.1,83.9,598757,-0.9,-0.4,83.7,545433,0.4,-0.4,86.3,433785,0.4,2.1,94.0,443836,0.3,1.2,90.7,624283,-0.2,0.6,87.9,560682,-0.4,1.5,90.2,1485,499852,0.3,0.8,89.3,5968,483454,2.5,3.7,95.6,1129,506659,-0.3,0.6,88.3,6457,2019-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-10,7901,monthly,506016,-1.5,-0.9,88.6,7901,986694,-1.9,-0.1,83.9,604812,-0.3,1.0,84.6,541848,-0.7,-0.7,85.7,426466,-2.2,-1.7,92.4,439006,-1.7,-1.1,89.7,619681,-1.4,-0.7,87.3,552917,-2.3,-1.4,88.9,1413,495738,-1.3,-0.8,88.6,6316,474734,-1.6,-1.8,93.9,976,502512,-1.5,-0.8,87.6,6925,2019-10-01
